env.task_name,agent.agent_name,env.benchmark,index,exp_dir,agent.chat_model.model_name,agent.chat_model.max_total_tokens,agent.chat_model.max_input_tokens,agent.chat_model.max_new_tokens,agent.chat_model.temperature,agent.chat_model.vision_support,agent.chat_model.log_probs,agent.flags.obs.use_html,agent.flags.obs.use_ax_tree,agent.flags.obs.use_tabs,agent.flags.obs.use_focused_element,agent.flags.obs.use_error_logs,agent.flags.obs.use_history,agent.flags.obs.use_past_error_logs,agent.flags.obs.use_action_history,agent.flags.obs.use_think_history,agent.flags.obs.use_diff,agent.flags.obs.html_type,agent.flags.obs.use_screenshot,agent.flags.obs.use_som,agent.flags.obs.extract_visible_tag,agent.flags.obs.extract_clickable_tag,agent.flags.obs.extract_coords,agent.flags.obs.filter_visible_elements_only,agent.flags.obs.openai_vision_detail,agent.flags.obs.filter_with_bid_only,agent.flags.obs.filter_som_only,agent.flags.action.action_set.subsets,agent.flags.action.action_set.multiaction,agent.flags.action.action_set.strict,agent.flags.action.action_set.retry_with_force,agent.flags.action.action_set.demo_mode,agent.flags.action.long_description,agent.flags.action.individual_examples,agent.flags.action.multi_actions,agent.flags.action.is_strict,agent.flags.use_plan,agent.flags.use_criticise,agent.flags.use_thinking,agent.flags.use_memory,agent.flags.use_concrete_example,agent.flags.use_abstract_example,agent.flags.use_hints,agent.flags.enable_chat,agent.flags.max_prompt_tokens,agent.flags.be_cautious,agent.flags.extra_instructions,agent.flags.add_missparsed_messages,agent.flags.max_trunc_itr,agent.flags.flag_group,agent.max_retry,env.task_seed,env.max_steps,env.headless,env.record_video,env.wait_for_user_message,env.viewport,env.slow_mo,env.storage_state,env.task_kwargs,exp_name,enable_debug,err_msg,stack_trace,order,logging_level,logging_level_stdout,exp_id,depends_on,save_screenshot,save_som,n_steps,cum_reward,cum_raw_reward,stats.cum_steps,stats.cum_n_token_goal,stats.max_n_token_goal,stats.cum_n_token_url,stats.max_n_token_url,stats.cum_n_token_focused_element_bid,stats.max_n_token_focused_element_bid,stats.cum_n_token_last_action,stats.max_n_token_last_action,stats.cum_n_token_last_action_error,stats.max_n_token_last_action_error,stats.cum_n_token_dom_txt,stats.max_n_token_dom_txt,stats.cum_n_token_axtree_txt,stats.max_n_token_axtree_txt,stats.cum_n_token_pruned_html,stats.max_n_token_pruned_html,stats.cum_n_retry_llm,stats.max_n_retry_llm,stats.cum_n_retry,stats.max_n_retry,stats.cum_busted_retry,stats.max_busted_retry,stats.cum_input_tokens,stats.max_input_tokens,stats.cum_output_tokens,stats.max_output_tokens,stats.cum_cost,stats.max_cost,stats.cum_n_token_agent_messages,stats.max_n_token_agent_messages,stats.cum_step_elapsed,stats.max_step_elapsed,stats.cum_agent_elapsed,stats.max_agent_elapsed,terminated,truncated,err_key
webmall.Webmall_Add_To_Cart_Task1,GenericAgent-gpt-4o-mini-2024-07-18,webmall,8,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_09-27-29_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-26_09-27-35_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task1_8,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,8,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task1_8,True,,,33,10,20,4d662b56-2cd2-4cb1-b34d-bef242e0d70f,(),True,False,50,0.4,0,51,20300,406,763,21,50,1,773,30,816,75,1991617,141511,294429,7559,1247548,39763,50,1,0.0,0.0,0,0,1438852,42642,5035,122,0.21884879999999998,0.0064532999999999995,1435748,42562,172.42810106277466,7.7141783237457275,165.6346926689148,5.922283172607422,False,True,
webmall.Webmall_Add_To_Cart_Task2,GenericAgent-gpt-4o-mini-2024-07-18,webmall,9,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_09-27-29_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-26_09-27-35_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task2_25,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,25,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task2_25,True,,,34,10,20,89aae58c-2622-4bed-b680-129d8b878dce,(),True,False,50,0.0,0,51,20550,411,750,15,50,1,507,29,797,17,2296669,58958,209935,4784,1356935,29662,50,1,0.0,0.0,0,0,1539466,35631,4381,103,0.2335485,0.00539805,1533546,35471,131.37884759902954,7.9361395835876465,155.79681825637817,6.401301383972168,False,True,
webmall.Webmall_Add_To_Cart_Task3,GenericAgent-gpt-4o-mini-2024-07-18,webmall,10,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_09-27-29_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-26_09-27-35_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task3_1,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,1,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task3_1,True,,,35,10,20,71a0ab6d-fa9b-453e-84b7-52c51ad4702a,(),True,False,50,0.0,0,51,20050,401,780,21,50,1,593,20,667,24,2017527,58955,258785,6851,1183494,29662,50,1,0.0,0.0,0,0,1358905,33275,4255,103,0.20638875,0.00504525,1355520,33118,137.80226802825928,7.954266309738159,161.5349884033203,6.4420294761657715,False,True,
webmall.Webmall_Add_To_Cart_Task4,GenericAgent-gpt-4o-mini-2024-07-18,webmall,11,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_09-27-29_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-26_09-27-35_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task4_19,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,19,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task4_19,True,,,36,10,20,d4c5ad8d-320c-4599-afc0-17a1c6bedd67,(),True,False,50,0.0,0,51,20400,408,756,21,50,1,641,25,631,71,1141715,58945,105195,6853,546289,29745,50,1,0.0,0.0,0,0,726683,32336,4562,126,0.11173965,0.004901999999999999,728274,32175,153.3162977695465,9.580091953277588,138.78997898101807,5.317002058029175,False,True,
webmall.Webmall_Add_To_Cart_Task5,GenericAgent-gpt-4o-mini-2024-07-18,webmall,12,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_09-27-29_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-26_09-27-35_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task5_27,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task5_27,True,,,37,10,20,b6b4ba71-6ede-49f2-a543-a9452d2a71e0,(),True,False,50,0.0,0,51,20200,404,801,24,50,1,1030,22,880,62,2190217,58952,219437,6851,1208080,29662,50,1,0.0,0.0,0,0,1407983,35042,5170,113,0.21429945,0.0053091,1408187,34989,155.0125515460968,8.323054313659668,147.0919075012207,5.499013662338257,False,True,
webmall.Webmall_Add_To_Cart_Task6,GenericAgent-gpt-4o-mini-2024-07-18,webmall,13,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_09-27-29_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-26_09-27-35_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task6_6,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,6,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task6_6,True,,,38,10,20,89f1080a-8525-47ae-9c02-5443f8881b94,(),True,False,50,0.0,0,51,20600,412,780,24,50,1,552,30,614,62,934823,58936,90265,6851,460316,29662,50,1,0.0,0.0,0,0,644983,32116,4844,123,0.09965384999999999,0.0048702,648868,31974,155.72847867012024,6.301199913024902,136.89475059509277,6.80387544631958,False,True,
webmall.Webmall_Add_To_Cart_Task7,GenericAgent-gpt-4o-mini-2024-07-18,webmall,14,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_09-27-29_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-26_09-27-35_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task7_7,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,7,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task7_7,True,,,39,10,20,a9dfdf39-d0d0-4eeb-b01d-86d9aed1197e,(),True,False,50,0.0,0,51,20100,402,787,37,50,1,862,20,696,74,2005063,58943,144401,6851,731234,29671,50,1,0.0,0.0,0,0,916516,31513,4933,111,0.1404372,0.00477135,918527,31339,150.7823190689087,8.44559931755066,140.32027077674866,5.989070892333984,False,True,
webmall.Webmall_Best_Fit_Specific_Task1,GenericAgent-gpt-4o-mini-2024-07-18,webmall,17,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_09-27-29_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-26_09-27-35_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task1_27,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task1_27,True,,,22,10,20,2a090434-41d7-4e2f-bf6c-54d0ba4fb59f,(),True,False,50,0.0,0,51,19300,386,837,24,50,1,570,19,441,41,1142922,58951,121937,7451,590021,39799,50,1,0.0,0.0,0,0,754756,41763,3790,108,0.11548739999999999,0.00631665,756567,41662,161.2393615245819,7.8747875690460205,114.60245060920715,5.06986403465271,False,True,
webmall.Webmall_Best_Fit_Specific_Task10,GenericAgent-gpt-4o-mini-2024-07-18,webmall,15,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_09-27-29_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-26_09-27-35_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task10_24,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,24,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task10_24,True,,,31,10,20,a6d50506-3d26-449c-94dc-aa45a2c7d60d,(),True,False,50,0.0,0,51,20300,406,762,21,50,1,671,17,731,62,1852107,58939,236102,6851,996349,29662,50,1,0.0,0.0,0,0,1205802,32165,5866,137,0.1843899,0.00489075,1208126,32045,143.82617044448853,6.280602693557739,175.46657371520996,6.827383995056152,False,True,
webmall.Webmall_Best_Fit_Specific_Task11,GenericAgent-gpt-4o-mini-2024-07-18,webmall,16,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_09-27-29_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-26_09-27-35_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task11_13,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,13,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task11_13,True,,,32,10,20,fd107639-b125-4f25-b02e-3a16485a95f5,(),True,False,50,0.0,0,51,19650,393,792,24,50,1,628,18,524,72,1507313,58954,147987,6851,781190,29745,50,1,0.0,0.0,0,0,964887,33857,4978,129,0.14771985,0.00515475,965295,33745,163.94868969917297,9.310670137405396,138.59893083572388,5.49412727355957,False,True,
