experiment_id,task_id,goal_description,achieved,weight
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer1,False,0.08
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer2,False,0.08
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer3,False,0.08
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer4,False,0.08
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer5,False,0.08
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer6,False,0.08
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer7,False,0.08
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer8,False,0.08
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer9,False,0.08
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer10,False,0.08
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_xcase.co.uk_95,False,0.016666666666666666
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_xcase.co.uk_322,False,0.016666666666666666
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_xcase.co.uk_343,False,0.016666666666666666
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_xcase.co.uk_461,False,0.016666666666666666
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_kovendor.co.uk_108,False,0.016666666666666666
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_kovendor.co.uk_129,False,0.016666666666666666
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_kovendor.co.uk_422,False,0.016666666666666666
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_kovendor.co.uk_447,False,0.016666666666666666
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_kovendor.co.uk_454,False,0.016666666666666666
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_kovendor.co.uk_665,False,0.016666666666666666
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_rog.co.uk_8,False,0.016666666666666666
2025-08-30_15-09-02_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_rog.co.uk_112,False,0.016666666666666666
