env.task_name,agent.agent_name,env.benchmark,index,exp_dir,agent.chat_model.model_name,agent.chat_model.max_total_tokens,agent.chat_model.max_input_tokens,agent.chat_model.max_new_tokens,agent.chat_model.temperature,agent.chat_model.vision_support,agent.chat_model.log_probs,agent.flags.obs.use_html,agent.flags.obs.use_ax_tree,agent.flags.obs.use_tabs,agent.flags.obs.use_focused_element,agent.flags.obs.use_error_logs,agent.flags.obs.use_history,agent.flags.obs.use_past_error_logs,agent.flags.obs.use_action_history,agent.flags.obs.use_think_history,agent.flags.obs.use_diff,agent.flags.obs.html_type,agent.flags.obs.use_screenshot,agent.flags.obs.use_som,agent.flags.obs.extract_visible_tag,agent.flags.obs.extract_clickable_tag,agent.flags.obs.extract_coords,agent.flags.obs.filter_visible_elements_only,agent.flags.obs.openai_vision_detail,agent.flags.obs.filter_with_bid_only,agent.flags.obs.filter_som_only,agent.flags.action.action_set.subsets,agent.flags.action.action_set.multiaction,agent.flags.action.action_set.strict,agent.flags.action.action_set.retry_with_force,agent.flags.action.action_set.demo_mode,agent.flags.action.long_description,agent.flags.action.individual_examples,agent.flags.action.multi_actions,agent.flags.action.is_strict,agent.flags.use_plan,agent.flags.use_criticise,agent.flags.use_thinking,agent.flags.use_memory,agent.flags.use_concrete_example,agent.flags.use_abstract_example,agent.flags.use_hints,agent.flags.enable_chat,agent.flags.max_prompt_tokens,agent.flags.be_cautious,agent.flags.extra_instructions,agent.flags.add_missparsed_messages,agent.flags.max_trunc_itr,agent.flags.flag_group,agent.max_retry,env.task_seed,env.max_steps,env.headless,env.record_video,env.wait_for_user_message,env.viewport,env.slow_mo,env.storage_state,env.task_kwargs,exp_name,enable_debug,err_msg,stack_trace,order,logging_level,logging_level_stdout,exp_id,depends_on,save_screenshot,save_som,err_key
webmall.Webmall_Add_To_Cart_Task1,GenericAgent-gpt-4.1-2025-04-14,webmall,1,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-17_13-35-13_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-17_13-35-47_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task1_8,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,8,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task1_8,True,,,33,10,20,69019a86-da0f-44f4-af97-ab46c66f8a03,(),True,False,
webmall.Webmall_Add_To_Cart_Task2,GenericAgent-gpt-4.1-2025-04-14,webmall,2,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-17_13-35-13_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-17_13-35-47_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task2_25,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,25,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task2_25,True,,,34,10,20,877bcf3b-42f3-4b4a-82c6-448ce5313088,(),True,False,
webmall.Webmall_Add_To_Cart_Task3,GenericAgent-gpt-4.1-2025-04-14,webmall,3,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-17_13-35-13_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-17_13-35-47_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task3_1,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,1,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task3_1,True,,,35,10,20,19ab9749-319a-4ef2-b43d-81c5e4419403,(),True,False,
webmall.Webmall_Add_To_Cart_Task4,GenericAgent-gpt-4.1-2025-04-14,webmall,4,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-17_13-35-13_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-17_13-35-47_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task4_19,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,19,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task4_19,True,,,36,10,20,48743828-1ade-4ef2-bb08-651aacff8bfa,(),True,False,
webmall.Webmall_Add_To_Cart_Task5,GenericAgent-gpt-4.1-2025-04-14,webmall,5,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-17_13-35-13_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-17_13-35-47_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task5_27,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task5_27,True,,,37,10,20,b7bfa7c3-9152-49c9-9f0a-d5df969daa0e,(),True,False,
webmall.Webmall_Add_To_Cart_Task6,GenericAgent-gpt-4.1-2025-04-14,webmall,6,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-17_13-35-13_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-17_13-35-47_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task6_6,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,6,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task6_6,True,,,38,10,20,41fab05b-ff1e-4610-8288-527e7c673a13,(),True,False,
webmall.Webmall_Add_To_Cart_Task7,GenericAgent-gpt-4.1-2025-04-14,webmall,7,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-17_13-35-13_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-17_13-35-47_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task7_7,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,7,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task7_7,True,,,39,10,20,113b7426-c2d7-4a92-b6d4-79571e58a2a9,(),True,False,
webmall.Webmall_Best_Fit_Specific_Task1,GenericAgent-gpt-4.1-2025-04-14,webmall,10,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-17_13-35-13_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-17_13-35-47_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task1_27,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task1_27,True,,,22,10,20,0c6e290a-1205-4597-90fe-777403a90155,(),True,False,
webmall.Webmall_Best_Fit_Specific_Task10,GenericAgent-gpt-4.1-2025-04-14,webmall,8,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-17_13-35-13_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-17_13-35-47_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task10_24,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,24,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task10_24,True,,,31,10,20,c5325a7f-0a0e-4066-a65b-7a2b53a3e1d4,(),True,False,
webmall.Webmall_Best_Fit_Specific_Task11,GenericAgent-gpt-4.1-2025-04-14,webmall,9,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-17_13-35-13_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-17_13-35-47_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task11_13,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,13,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task11_13,True,,,32,10,20,da07e76e-feab-4487-a126-1b8caa0ac79e,(),True,False,
