env.task_name,agent.agent_name,env.benchmark,index,exp_dir,agent.chat_model.model_name,agent.chat_model.max_total_tokens,agent.chat_model.max_input_tokens,agent.chat_model.max_new_tokens,agent.chat_model.temperature,agent.chat_model.vision_support,agent.chat_model.log_probs,agent.flags.obs.use_html,agent.flags.obs.use_ax_tree,agent.flags.obs.use_tabs,agent.flags.obs.use_focused_element,agent.flags.obs.use_error_logs,agent.flags.obs.use_history,agent.flags.obs.use_past_error_logs,agent.flags.obs.use_action_history,agent.flags.obs.use_think_history,agent.flags.obs.use_diff,agent.flags.obs.html_type,agent.flags.obs.use_screenshot,agent.flags.obs.use_som,agent.flags.obs.extract_visible_tag,agent.flags.obs.extract_clickable_tag,agent.flags.obs.extract_coords,agent.flags.obs.filter_visible_elements_only,agent.flags.obs.openai_vision_detail,agent.flags.obs.filter_with_bid_only,agent.flags.obs.filter_som_only,agent.flags.action.action_set.subsets,agent.flags.action.action_set.multiaction,agent.flags.action.action_set.strict,agent.flags.action.action_set.retry_with_force,agent.flags.action.action_set.demo_mode,agent.flags.action.long_description,agent.flags.action.individual_examples,agent.flags.action.multi_actions,agent.flags.action.is_strict,agent.flags.use_plan,agent.flags.use_criticise,agent.flags.use_thinking,agent.flags.use_memory,agent.flags.use_concrete_example,agent.flags.use_abstract_example,agent.flags.use_hints,agent.flags.enable_chat,agent.flags.max_prompt_tokens,agent.flags.be_cautious,agent.flags.extra_instructions,agent.flags.add_missparsed_messages,agent.flags.max_trunc_itr,agent.flags.flag_group,agent.max_retry,env.task_seed,env.max_steps,env.headless,env.record_video,env.wait_for_user_message,env.viewport,env.slow_mo,env.storage_state,env.task_kwargs,exp_name,enable_debug,err_msg,stack_trace,order,logging_level,logging_level_stdout,exp_id,depends_on,save_screenshot,save_som,n_steps,cum_reward,cum_raw_reward,stats.cum_steps,stats.cum_n_token_goal,stats.max_n_token_goal,stats.cum_n_token_url,stats.max_n_token_url,stats.cum_n_token_focused_element_bid,stats.max_n_token_focused_element_bid,stats.cum_n_token_last_action,stats.max_n_token_last_action,stats.cum_n_token_last_action_error,stats.max_n_token_last_action_error,stats.cum_n_token_dom_txt,stats.max_n_token_dom_txt,stats.cum_n_token_axtree_txt,stats.max_n_token_axtree_txt,stats.cum_n_token_pruned_html,stats.max_n_token_pruned_html,stats.cum_n_retry_llm,stats.max_n_retry_llm,stats.cum_n_retry,stats.max_n_retry,stats.cum_busted_retry,stats.max_busted_retry,stats.cum_input_tokens,stats.max_input_tokens,stats.cum_output_tokens,stats.max_output_tokens,stats.cum_cost,stats.max_cost,stats.cum_n_token_agent_messages,stats.max_n_token_agent_messages,stats.cum_step_elapsed,stats.max_step_elapsed,stats.cum_agent_elapsed,stats.max_agent_elapsed,terminated,truncated,err_key
webmall.Webmall_Add_To_Cart_Task1,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,13,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-18_14-57-21_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-18_14-57-32_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task1_8,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,8,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task1_8,True,,,33,10,20,4a4ca104-81fc-4ec2-8299-9503f3d740cd,(),True,False,21,1.0,0,22,8526,406,481,56,21,1,299,118,41,41,738554,141521,59454,6886,298071,29675,21,1,0.0,0.0,0,0,105226,9092,1983,344,0.045263199999999996,0.0037456000000000004,107568,9200,181.1990156173706,12.799304008483887,48.93565917015076,6.416024446487427,True,False,
webmall.Webmall_Add_To_Cart_Task2,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,14,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-18_14-57-21_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-18_14-57-32_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task2_25,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,25,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task2_25,True,,,34,10,20,1a462443-f84e-44bb-a314-d38dfe3b4f7c,(),True,False,23,1.0,0,24,9453,411,739,56,23,1,381,61,235,73,1082242,141493,77470,6898,411766,29681,23,1,0.0,0.0,0,0,130635,8930,2374,216,0.05605240000000001,0.0036888000000000003,133499,9044,222.44442510604858,13.193490028381348,55.65631031990051,4.7445526123046875,True,False,
webmall.Webmall_Add_To_Cart_Task3,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,15,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-18_14-57-21_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-18_14-57-32_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task3_1,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,1,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task3_1,True,,,35,10,20,c6d185ec-e2c5-4680-9048-871329281740,(),True,False,28,1.0,0,29,11228,401,949,64,28,1,546,126,48,24,975682,58948,93530,6880,433800,29672,28,1,0.0,0.0,0,0,161988,9865,2623,204,0.068992,0.004051600000000001,165182,9976,239.94795608520508,13.731301546096802,70.66456651687622,4.941251993179321,True,False,
webmall.Webmall_Add_To_Cart_Task4,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,16,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-18_14-57-21_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-18_14-57-32_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task4_19,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,19,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task4_19,True,,,36,10,20,90cb1ccb-8a48-4a76-8e53-ecfe3b9adb8c,(),True,False,20,1.0,0,21,8160,408,554,72,20,1,348,150,72,24,661656,64846,54561,6890,282762,29677,20,1,0.0,0.0,0,0,99831,9257,1710,209,0.04266840000000001,0.0038132000000000005,102002,9378,198.81573510169983,13.796562910079956,43.99916458129883,4.332537651062012,True,False,
webmall.Webmall_Add_To_Cart_Task5,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,17,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-18_14-57-21_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-18_14-57-32_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task5_27,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task5_27,True,,,37,10,20,0bf6e085-5a86-4f44-9096-e2a612db67da,(),True,False,22,1.0,0,23,8888,404,540,58,22,1,300,120,89,41,661573,58947,60536,6884,303752,29674,22,1,0.0,0.0,0,0,110662,9261,2015,288,0.04748880000000001,0.0037972000000000006,113557,9389,215.8231065273285,14.799580812454224,43.711249589920044,4.299454212188721,True,False,
webmall.Webmall_Add_To_Cart_Task6,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,18,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-18_14-57-21_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-18_14-57-32_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task6_6,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,6,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task6_6,True,,,38,10,20,c2714afe-62ba-4dbe-aff7-89c2e89fc8cd,(),True,False,19,1.0,0,20,7828,412,488,57,19,1,323,120,65,41,630454,58954,56464,6894,285913,29679,19,1,0.0,0.0,0,0,98132,9121,1786,223,0.042110400000000006,0.0037636000000000006,100665,9261,129.77973794937134,13.729392766952515,40.154263973236084,4.429024696350098,True,False,
webmall.Webmall_Add_To_Cart_Task7,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,19,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-18_14-57-21_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-18_14-57-32_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task7_7,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,7,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task7_7,True,,,39,10,20,bc567d9a-c6fe-42a2-8485-4409eae00fed,(),True,False,50,0.9,0,51,20100,402,1648,64,50,1,430,31,1092,81,2201821,58957,144840,6878,723251,29711,50,1,3.0,1.0,0,0,354091,18350,4989,219,0.14961880000000002,0.007690400000000001,335413,9374,271.1966643333435,16.69414472579956,117.56911706924438,8.0323486328125,False,True,
webmall.Webmall_Best_Fit_Specific_Task1,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,22,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-18_14-57-21_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-18_14-57-32_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task1_27,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task1_27,True,,,22,10,20,34f8d544-8540-48e5-bc51-d65095f00504,(),True,False,20,0.4,0,21,7720,386,394,62,20,1,270,96,263,198,740486,58944,60525,6876,314034,29670,20,1,0.0,0.0,0,0,105282,8940,2114,232,0.045495200000000006,0.0036848000000000002,107760,9052,165.96162295341492,12.130849123001099,52.80094075202942,5.482494354248047,True,False,
webmall.Webmall_Best_Fit_Specific_Task10,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,20,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-18_14-57-21_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-18_14-57-32_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task10_24,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,24,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task10_24,True,,,31,10,20,8f25dd14-70a5-4cab-b9aa-678613d3c726,(),True,False,50,0.0,0,51,20300,406,1406,49,50,1,414,30,168,24,1948467,59508,243219,7926,1078001,33565,50,1,0.0,0.0,0,0,441292,13943,5229,343,0.18488320000000003,0.005714800000000001,448545,14096,380.0980405807495,11.078162908554077,131.61817741394043,5.06637167930603,False,True,
webmall.Webmall_Best_Fit_Specific_Task11,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,21,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-18_14-57-21_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-18_14-57-32_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task11_13,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,13,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task11_13,True,,,32,10,20,315bf087-19e4-4644-9b9b-5db8d5864dd2,(),True,False,35,0.0,0,36,13755,393,1387,59,35,1,286,22,41,41,1242974,58937,127285,6874,690674,29669,35,1,0.0,0.0,0,0,229869,10986,3427,153,0.09743080000000001,0.0044952,234115,11091,254.03178453445435,10.587497472763062,87.51282024383545,6.3255414962768555,True,False,
